"","saleprice","gdistance","wdistance","cdistance","bathrooms","bedrooms","sqftbuilding","sqftlot","age"
"55",338000,11020.0712890625,8881.9306640625,556.2080078125,2.5,3,3006,11160,3
"56",75000,4687.876953125,12126.7587890625,172.111999511719,1,3,1054,6400,46
"57",66000,3684.123046875,12005.22265625,872.012023925781,2,2,911,5819,2
"58",93000,5130.35986328125,5251.837890625,16.2919998168945,2,3,1269,5000,2
"59",83000,11351.09375,15474.4345703125,123.296997070312,1.5,2,1428,8990,51
"60",85000,14571.0673828125,5187.1298828125,560.323974609375,2,3,1293,6031,6
"61",148000,3301.7548828125,13303.4853515625,561.405029296875,2,3,1159,6218,4
"62",133000,12427.33203125,4734.10791015625,619.77099609375,2,3,1600,6174,10
"63",121000,7675.19091796875,2849.71508789062,72.5979995727539,2,4,1466,5173,1
"64",142000,14897.375,1738.41198730469,1235.29296875,2,3,1495,11000,41
"65",168000,4721.7490234375,11630.6015625,295.369995117188,2.5,3,2168,6300,15
"66",168000,12944.98046875,3328.72412109375,1079.88098144531,3,5,2129,9280,7
"67",215000,2672.52490234375,13761.591796875,30.9979991912842,3,4,2135,7421,8
"68",176000,5988.26708984375,14390.9404296875,332.264007568359,2,4,2198,8450,49
"69",145000,4542.3828125,11327.4248046875,598.955993652344,2.5,3,1446,4200,4
"70",105000,13884.4697265625,3619.10498046875,1226.48400878906,2,3,1250,5900,30
"71",209000,14507.728515625,778.127014160156,1900.48596191406,2,2,1922,10000,19
"72",144500,15654.072265625,3107.55395507812,1794.78894042969,2,4,2156,7150,28
"73",68500,15423.5078125,3243.4189453125,2274.39404296875,1,3,988,8500,42
"74",215000,2389.68798828125,10543.974609375,310.015014648438,3,4,1999,7858,13
"75",125000,674.177978515625,9309.345703125,147.565002441406,2,3,1641,7231,3
"76",210500,2500.09204101562,13500.20703125,199.235992431641,3,4,2136,5605,7
"77",157000,12190.9140625,941.299987792969,1699.77294921875,2,4,1698,6855,40
"78",170500,3009.55810546875,12525.326171875,919.497985839844,2.5,3,1835,6035,6
"79",73000,10864.6005859375,5711.669921875,426.868988037109,1,3,1008,7552,18
"80",135000,3839.36791992188,10631.078125,1173.45495605469,1,3,1281,4900,41
"81",149000,15482.2265625,1825.27197265625,2884.06201171875,2,3,1547,8231,10
"82",145500,4871.10107421875,10939.5771484375,193.796997070312,2,3,1390,5610,5
"83",132727,5051.39892578125,11200.1884765625,337.739013671875,1,3,1020,6300,15
"84",148500,5418.1181640625,4362.7822265625,660.627990722656,2,3,1446,7861,30
"85",160000,4721.0478515625,11630.1689453125,296.481994628906,2,4,1702,7055,17
"86",165000,6627.701171875,6447.98388671875,1122.93298339844,2,4,1771,8168,9
"87",68500,13562.833984375,2580.49609375,1662.55297851562,1,2,804,5500,50
"88",130000,5815.97802734375,6677.998046875,64.3330001831055,2,3,1496,65775,16
"89",160000,4139.48779296875,12565.765625,344.264007568359,1,3,1508,52272,49
"90",110000,4860.7470703125,5947.93115234375,109.158996582031,1,3,1281,7207,44
"91",117000,7033.955078125,3461.31591796875,350.630004882812,2,2,1235,6160,39
"92",135000,11156.28125,6512.4658203125,318.841003417969,2.5,3,1578,5900,2
"93",175500,3162.29711914062,12910.580078125,902.56201171875,2.5,4,2032,5637,2
"94",118000,5442.68603515625,12422.365234375,388.403991699219,2,3,1201,5504,8
"95",144909,9048.69921875,14104.5458984375,564.870971679688,2,3,1439,8300,21
"96",111818,4528.19091796875,12863.8837890625,1222.125,2,3,1245,7974,15
"97",193000,3273.60205078125,13824.9384765625,228.300003051758,2.5,4,1945,5890,1
"98",95500,3123.27490234375,11314.380859375,1212.82995605469,1.5,3,1488,7400,35
"99",179000,5863.537109375,5708.9482421875,404.072998046875,2,3,1900,8214,4
"100",226000,3132.09790039062,12679.6748046875,1079.1650390625,3,5,2790,5601,3
"101",124000,14237.7275390625,146.281005859375,317.253997802734,2,3,1231,7475,18
"102",167500,6275.51416015625,14658.34765625,479.406005859375,3,4,1831,4230,4
